ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
818,Dementia Care,"1.	To equip caregiver with skills and knowledge for care recipient with dementia
2.	To be able to understand different stages of dementia
3.	To be able to communicate and manage care recipient suffering from dementia
4.	To be able to assess risks at home
5.	To be able to handle emergency situations",Aria Training & Consultancy Pte. Ltd.,260,0,Part time,1-2 days,2,,,,2024
819,ABCs of Caregiver – Ambulatory Seniors (Set A),"1.	To be able to care for ambulant seniors
2.	To be able to assist seniors with ADLs
3.	To be able to assess risks at home
4.	To be able to monitor senior’s vitals
5.	To be able to handle emergency situations",Aria Training & Consultancy Pte. Ltd.,300,0,Full Time and Part Time,1-2 days,3,,,,2024
820,ABCs of Caregiver – Bed Bound (Set B),"1.	To be able to care for bed bound care recipients
2.	To be able to assist bed bound care recipients with ADLs
3.	To be able to properly do turning and positioning
4.	To be able to monitor care recipient’s vitals
5.	To be able to handle emergency situations",Aria Training & Consultancy Pte. Ltd.,300,0,Full Time and Part Time,1-2 days,3,,,,2024
821,ABCs of Caregiver – Wheelchair Enabled (Set C),"1.	To be able to care for wheelchair enabled care recipients
2.	To be able to assist care recipients with ADLs
3.	To be able to do transferring from wheelchair to bed and vice versa
4.	To be able to monitor care recipient’s vitals
5.	To be able to handle emergency situations",Aria Training & Consultancy Pte. Ltd.,300,0,Full Time and Part Time,1-2 days,3,,,,2024
822,Maritime Emergency Medical Support,"This course is targeted at learners who are providing Emergency Medical Support looking to supplement their understanding in special situations for those working out at sea, and also in maritime environments",Aris Integrated Medical Pte. Ltd.,1650,825,Full Time,6 days - 1 month,44,,,,2024
823,Basic Home Care Skills for Home Caregivers (2-hour Home Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to assist the elderly or disabled persons at home with their Activities of Daily Living. Caregivers will learn skills on how to communicate effectively with the elderlies and better manage the care recipient health through health education.,Assure Safety Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,2,,,,2024
824,Caring for Persons with Dementia (2-hour Home Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to care for person with dementia at home.,Assure Safety Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,2,,,,2024
825,First Aid for Elderly at Home (2-hour Home Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to handle emergencies and render basic first aid to the elderly at home.,Assure Safety Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,2,,,,2024
826,Caring for Persons with Dementia (4-hour Classroom Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to care for person with dementia at home.,Assure Safety Pte. Ltd.,135,0,Full Time and Part Time,1-2 days,4,,,,2024
827,First Aid for Elderly at Home (4-hour Classroom Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to handle emergencies and render basic first aid to the elderly at home.,Assure Safety Pte. Ltd.,135,0,Full Time and Part Time,1-2 days,4,,,,2024
828,Basic Home Care Skills for Home Caregivers (6-hour Classroom Based),The objective of this training programme is to equip caregivers with the necessary basic knowledge and skills to assist the elderly or disabled persons at home with their Activities of Daily Living. Caregivers will learn skills on how to communicate effectively with the elderlies and better manage the care recipient health through health education.,Assure Safety Pte. Ltd.,135,0,Part Time,1-2 days,6,,,,2024
829,Foundations of Successful Communication Skills,This workshop aims to empower participants with the knowledge and skills to support the development of communication skills in the learner with autism. Participants will be introduced to key elements that form the foundation of an autism-friendly communication intervention program.,Autism Resource Centre (Singapore),72.86,0,Part time,1-2 days,3,,,,2024
830,My Child with Autism is Growing Up! – Parenting Teenagers with Autism,"•	Participants will understand the different hurdles and challenges faced by adolescents with autism during their teenage years
•	Participants will gain an awareness of how their parenting styles impact the relationship with their teenage child and the ways to manage these changing relationships",Autism Resource Centre (Singapore),72.86,0,Full Time,1-2 days,3,,,,2024
831,Fundamentals of Autism,"Participants will gain knowledge to help them be aware and understand the core characteristics of the Autism. They will also learn how individuals with autism are impacted by these characteristics. 

Participants will be presented with basic practical tips and strategies that they can effectively apply to:
•	meet the learning needs of individuals with Autism
•	plan for priority intervention",Autism Resource Centre (Singapore),72.86,0,Full Time and Part Time,1-2 days,3,,,,2024
832,Fundamentals of Autism (Online),"Participants will gain knowledge to help them be aware and understand the core characteristics of the Autism. They will also learn how individuals with autism are impacted by these characteristics. 

Participants will be presented with basic practical tips and strategies that they can effectively apply to:
•	meet the learning needs of individuals with Autism
•	plan for priority intervention",Autism Resource Centre (Singapore),72.86,0,Full Time and Part Time,1-2 days,3,,,,2024
833,Preparing For Primary One – Strategies And Applications Series: Reading And Spelling,"•	Participants will understand the learning strengths and difficulties of young children with autism 
•	Participants will understand key tools and strategies to support learning 
•	Participants will learn application of tools and strategies to leverage on the child’s strengths to support his/her learning",Autism Resource Centre (Singapore),72.86,0,Full Time and Part Time,1-2 days,3,,,,2024
834,Preparing For Primary One – Strategies And Applications Series: Reading And Spelling (Online),"•	Participants will understand the learning strengths and difficulties of young children with autism 
•	Participants will understand key tools and strategies to support learning 
•	Participants will learn application of tools and strategies to leverage on the child’s strengths to support his/her learning",Autism Resource Centre (Singapore),72.86,0,Full Time and Part Time,1-2 days,3,,,,2024
835,"Your Child is Not Giving You a Hard Time, He or She is Having a Hard Time","•	Participants will gain knowledge to help them be aware and understand the causes of the behavioral challenges from the individuals on the autism spectrum.
•	Participants will be presented with basic practical tips and strategies to support the individuals on the spectrum",Autism Resource Centre (Singapore),120,0,Part Time,1-2 days,6,,,,2024
836,Facilitating Mindfulness Practices,"This course is tailored to equip with the essential tools and skills necessary to become an effective mindfulness facilitator, whether in educational, therapeutic, or organisational settings.",Centre For Mindfulness Pte Ltd,1750,0,Part time,3-5 days,24,,,,2024
